# time, q1-6, qdot1-6, qddot1-6, tau_total1-6, tau_ff1-6, tau_fb1-6
0.000000,0.000000,-1.570796,0.994838,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.034974,-14.194406,-9.435209,-0.013134,0.012700,-0.331966,0.000193,4.971196,2.982480,0.000243,0.000141,0.000043,0.000193,4.971196,2.982480,0.000243,0.000141,0.000043,0.000193,4.971196,2.982480,0.000243,0.000141,0.000043
0.010000,0.000000,-1.570796,0.994838,0.000000,0.000000,-0.000000,0.000022,0.000005,-0.000009,0.000041,0.000047,-0.000027,0.004131,0.001040,-0.001776,0.014796,0.009289,-0.092495,0.005637,4.972782,2.979544,0.000314,0.000590,0.000027,0.005637,4.972782,2.979544,0.000314,0.000590,0.000027,0.005637,4.972782,2.979544,0.000314,0.000590,0.000027
0.020000,0.000001,-1.570796,0.994837,0.000001,0.000001,-0.000001,0.000087,0.000022,-0.000037,0.000164,0.000190,-0.000110,0.008468,0.002138,-0.003640,0.030390,0.019072,-0.190919,0.014250,4.975408,2.974670,0.000415,0.001292,-0.000017,0.014250,4.975408,2.974670,0.000415,0.001292,-0.000017,0.014250,4.975408,2.974670,0.000415,0.001292,-0.000017
0.030000,0.000002,-1.570796,0.994837,0.000004,0.000004,-0.000003,0.000196,0.000049,-0.000084,0.000368,0.000427,-0.000248,0.012791,0.003238,-0.005496,0.045999,0.028856,-0.290407,0.026019,4.979077,2.967865,0.000546,0.002245,-0.000089,0.026019,4.979077,2.967865,0.000546,0.002245,-0.000089,0.026019,4.979077,2.967865,0.000546,0.002245,-0.000089
0.040000,0.000005,-1.570795,0.994836,0.000009,0.000011,-0.000006,0.000348,0.000088,-0.000149,0.000652,0.000759,-0.000442,0.017099,0.004338,-0.007342,0.061621,0.038637,-0.390930,0.040934,4.983788,2.959141,0.000709,0.003450,-0.000189,0.040934,4.983788,2.959141,0.000709,0.003450,-0.000189,0.040934,4.983788,2.959141,0.000709,0.003450,-0.000189
0.050000,0.000009,-1.570794,0.994834,0.000017,0.000020,-0.000012,0.000543,0.000137,-0.000233,0.001016,0.001186,-0.000693,0.021392,0.005440,-0.009178,0.077252,0.048411,-0.492463,0.058983,4.989541,2.948509,0.000902,0.004908,-0.000317,0.058983,4.989541,2.948509,0.000902,0.004908,-0.000317,0.058983,4.989541,2.948509,0.000902,0.004908,-0.000317
0.060000,0.000016,-1.570792,0.994831,0.000030,0.000035,-0.000020,0.000781,0.000198,-0.000335,0.001459,0.001708,-0.001002,0.025667,0.006540,-0.011001,0.092890,0.058173,-0.594977,0.080152,4.996333,2.935983,0.001125,0.006618,-0.000474,0.080152,4.996333,2.935983,0.001125,0.006618,-0.000474,0.080152,4.996333,2.935983,0.001125,0.006618,-0.000474
0.070000,0.000025,-1.570790,0.994827,0.000047,0.000055,-0.000032,0.001062,0.000269,-0.000455,0.001981,0.002324,-0.001368,0.029924,0.007640,-0.012811,0.108531,0.067921,-0.698445,0.104427,5.004163,2.921578,0.001379,0.008580,-0.000661,0.104427,5.004163,2.921578,0.001379,0.008580,-0.000661,0.104427,5.004163,2.921578,0.001379,0.008580,-0.000661
0.080000,0.000038,-1.570787,0.994822,0.000070,0.000082,-0.000048,0.001386,0.000352,-0.000593,0.002581,0.003035,-0.001793,0.034161,0.008738,-0.014605,0.124171,0.077651,-0.802841,0.131794,5.013029,2.905310,0.001663,0.010793,-0.000876,0.131794,5.013029,2.905310,0.001663,0.010793,-0.000876,0.131794,5.013029,2.905310,0.001663,0.010793,-0.000876
0.090000,0.000054,-1.570783,0.994815,0.000100,0.000117,-0.000069,0.001752,0.000445,-0.000749,0.003258,0.003839,-0.002277,0.038377,0.009833,-0.016383,0.139809,0.087358,-0.908137,0.162237,5.022926,2.887198,0.001978,0.013257,-0.001121,0.162237,5.022926,2.887198,0.001978,0.013257,-0.001121,0.162237,5.022926,2.887198,0.001978,0.013257,-0.001121
0.100000,0.000073,-1.570778,0.994806,0.000137,0.000160,-0.000095,0.002160,0.000549,-0.000922,0.004011,0.004738,-0.002821,0.042571,0.010925,-0.018143,0.155441,0.097038,-1.014306,0.195738,5.033850,2.867260,0.002323,0.015972,-0.001396,0.195738,5.033850,2.867260,0.002323,0.015972,-0.001396,0.195738,5.033850,2.867260,0.002323,0.015972,-0.001396
0.110000,0.000097,-1.570772,0.994796,0.000181,0.000213,-0.000126,0.002610,0.000665,-0.001113,0.004841,0.005730,-0.003424,0.046742,0.012012,-0.019884,0.171064,0.106688,-1.121320,0.232281,5.045796,2.845519,0.002698,0.018937,-0.001700,0.232281,5.045796,2.845519,0.002698,0.018937,-0.001700,0.232281,5.045796,2.845519,0.002698,0.018937,-0.001700
0.120000,0.000126,-1.570764,0.994784,0.000235,0.000276,-0.000164,0.003102,0.000791,-0.001322,0.005745,0.006815,-0.004088,0.050889,0.013095,-0.021603,0.186675,0.116304,-1.229153,0.271846,5.058759,2.821997,0.003103,0.022151,-0.002035,0.271846,5.058759,2.821997,0.003103,0.022151,-0.002035,0.271846,5.058759,2.821997,0.003103,0.022151,-0.002035
0.130000,0.000160,-1.570756,0.994769,0.000297,0.000351,-0.000209,0.003635,0.000928,-0.001547,0.006724,0.007993,-0.004813,0.055009,0.014173,-0.023301,0.202271,0.125881,-1.337776,0.314415,5.072732,2.796717,0.003539,0.025613,-0.002401,0.314415,5.072732,2.796717,0.003539,0.025613,-0.002401,0.314415,5.072732,2.796717,0.003539,0.025613,-0.002401
