time,q1,q2,q3,q4,q5,q6,qv1,qv2,qv3,qv4,qv5,qv6,tau1,tau2,tau3,tau4,tau5,tau6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,qv_des1,qv_des2,qv_des3,qv_des4,qv_des5,qv_des6
0.000002,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,0.007326,0.241758,3.113553,1.794872,0.017094,-0.002442,-0.012210,0.000000,-1.570796,0.994838,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.005362,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.021978,0.007326,0.212454,3.040293,1.794872,0.019536,-0.002442,-0.012210,0.000000,-1.570796,0.994838,0.000000,0.000000,-0.000000,0.000005,0.000001,-0.000002,0.000010,0.000012,-0.000007
0.010579,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.007326,-0.021978,0.236874,3.015873,1.789988,0.018722,-0.002442,-0.012210,0.000000,-1.570796,0.994838,0.000000,0.000000,-0.000000,0.000022,0.000005,-0.000009,0.000041,0.000047,-0.000027
0.015686,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,-0.021978,0.227106,3.040293,1.791209,0.018315,-0.003663,-0.012210,0.000000,-1.570796,0.994838,0.000001,0.000001,-0.000000,0.000049,0.000012,-0.000021,0.000092,0.000107,-0.000062
0.020813,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,0.021978,0.224176,3.043223,1.762637,0.018071,-0.003419,-0.012210,0.000001,-1.570796,0.994837,0.000001,0.000001,-0.000001,0.000087,0.000022,-0.000037,0.000164,0.000190,-0.000110
0.025934,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.021978,-0.007326,-0.021978,0.219780,3.057387,1.760684,0.017908,-0.002442,-0.011396,0.000001,-1.570796,0.994837,0.000002,0.000003,-0.000002,0.000136,0.000034,-0.000058,0.000256,0.000297,-0.000172
0.031066,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.021978,-0.007326,0.007326,0.220827,3.048666,1.755102,0.017094,-0.003140,-0.011512,0.000002,-1.570796,0.994837,0.000004,0.000004,-0.000003,0.000196,0.000049,-0.000084,0.000368,0.000427,-0.000248
0.036197,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.007326,-0.021978,0.217949,3.051282,1.745421,0.016484,-0.003053,-0.011600,0.000003,-1.570796,0.994836,0.000006,0.000007,-0.000004,0.000267,0.000067,-0.000114,0.000500,0.000581,-0.000338
0.041289,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.021978,-0.007326,0.217338,3.040293,1.737892,0.016551,-0.003527,-0.011667,0.000005,-1.570795,0.994836,0.000009,0.000011,-0.000006,0.000348,0.000088,-0.000149,0.000652,0.000759,-0.000442
0.046389,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.021978,-0.007326,0.227106,3.038828,1.740659,0.016606,-0.003419,-0.011722,0.000007,-1.570795,0.994835,0.000013,0.000015,-0.000009,0.000440,0.000111,-0.000189,0.000824,0.000961,-0.000561
0.051537,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,0.007326,-0.007326,0.222711,3.034432,1.742125,0.016606,-0.003419,-0.011722,0.000009,-1.570794,0.994834,0.000017,0.000020,-0.000012,0.000543,0.000137,-0.000233,0.001016,0.001186,-0.000693
0.056652,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.021978,-0.007326,0.225641,3.040293,1.734799,0.016117,-0.003419,-0.011722,0.000012,-1.570793,0.994832,0.000023,0.000027,-0.000016,0.000657,0.000166,-0.000281,0.001228,0.001435,-0.000840
0.061791,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,0.021978,0.221245,3.052015,1.736264,0.015629,-0.003419,-0.011722,0.000016,-1.570792,0.994831,0.000030,0.000035,-0.000020,0.000781,0.000198,-0.000335,0.001459,0.001708,-0.001002
0.066941,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.007326,0.007326,0.225641,3.046154,1.731868,0.016117,-0.002930,-0.011722,0.000020,-1.570791,0.994829,0.000038,0.000044,-0.000026,0.000917,0.000232,-0.000392,0.001710,0.002004,-0.001178
0.072037,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.007326,-0.007326,0.227106,3.047619,1.746520,0.015629,-0.002930,-0.011722,0.000025,-1.570790,0.994827,0.000047,0.000055,-0.000032,0.001062,0.000269,-0.000455,0.001981,0.002324,-0.001368
0.077149,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,0.007326,0.227106,3.031502,1.746520,0.015629,-0.003907,-0.012210,0.000031,-1.570788,0.994824,0.000058,0.000068,-0.000040,0.001219,0.000309,-0.000521,0.002271,0.002668,-0.001573
0.082217,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,0.007326,-0.007326,0.234432,3.041758,1.749451,0.016117,-0.003907,-0.012698,0.000038,-1.570787,0.994822,0.000070,0.000082,-0.000048,0.001386,0.000352,-0.000593,0.002581,0.003035,-0.001793
0.087342,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.036630,-0.007326,0.238828,3.037363,1.747985,0.016606,-0.003907,-0.012698,0.000045,-1.570785,0.994818,0.000084,0.000099,-0.000058,0.001564,0.000397,-0.000668,0.002910,0.003425,-0.002028
0.092440,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.021978,-0.007326,0.007326,0.244689,3.053480,1.759707,0.016606,-0.003907,-0.012698,0.000054,-1.570783,0.994815,0.000100,0.000117,-0.000069,0.001752,0.000445,-0.000749,0.003258,0.003839,-0.002277
0.097535,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,0.007326,0.007326,0.230037,3.053480,1.750916,0.016606,-0.004396,-0.012698,0.000063,-1.570780,0.994811,0.000117,0.000138,-0.000081,0.001951,0.000496,-0.000833,0.003625,0.004277,-0.002541
0.102643,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.021978,-0.007326,0.007326,0.231502,3.044689,1.742125,0.015629,-0.004884,-0.012698,0.000073,-1.570778,0.994806,0.000137,0.000160,-0.000095,0.002160,0.000549,-0.000922,0.004011,0.004738,-0.002821
0.107724,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.021978,0.007326,-0.007326,0.234432,3.052015,1.747985,0.014652,-0.004884,-0.012698,0.000085,-1.570775,0.994801,0.000158,0.000186,-0.000110,0.002380,0.000606,-0.001015,0.004416,0.005222,-0.003115
0.112825,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.007326,-0.021978,0.234432,3.054945,1.746520,0.015140,-0.004884,-0.012698,0.000097,-1.570772,0.994796,0.000181,0.000213,-0.000126,0.002610,0.000665,-0.001113,0.004841,0.005730,-0.003424
0.117988,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,0.007326,0.007326,0.234432,3.057875,1.740659,0.014652,-0.004884,-0.012698,0.000111,-1.570768,0.994790,0.000207,0.000243,-0.000144,0.002851,0.000726,-0.001215,0.005283,0.006261,-0.003748
0.123116,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.021978,-0.007326,-0.021978,0.231502,3.047619,1.734799,0.015140,-0.004396,-0.012698,0.000126,-1.570764,0.994784,0.000235,0.000276,-0.000164,0.003102,0.000791,-0.001322,0.005745,0.006815,-0.004088
0.128281,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,0.004396,-0.004396,-0.004396,-0.021978,-0.007326,0.007326,0.241758,3.053480,1.739194,0.014652,-0.003907,-0.012698,0.000142,-1.570760,0.994777,0.000265,0.000312,-0.000185,0.003364,0.000858,-0.001432,0.006225,0.007393,-0.004443
0.133379,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,0.007326,-0.007326,0.234432,3.041758,1.745055,0.014164,-0.002930,-0.012210,0.000160,-1.570756,0.994769,0.000297,0.000351,-0.000209,0.003635,0.000928,-0.001547,0.006724,0.007993,-0.004813
0.138497,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,0.004396,-0.004396,-0.004396,-0.007326,-0.021978,0.007326,0.234432,3.040293,1.758242,0.013675,-0.002930,-0.012698,0.000179,-1.570751,0.994761,0.000332,0.000393,-0.000234,0.003917,0.001000,-0.001666,0.007241,0.008617,-0.005198
0.143597,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,-0.021978,0.232967,3.038828,1.753846,0.014164,-0.002930,-0.012698,0.000200,-1.570746,0.994753,0.000370,0.000438,-0.000261,0.004210,0.001075,-0.001789,0.007776,0.009264,-0.005599
0.148709,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,0.004396,-0.004396,-0.004396,-0.007326,-0.007326,-0.007326,0.240293,3.032967,1.765568,0.014164,-0.002930,-0.012698,0.000221,-1.570740,0.994743,0.000411,0.000486,-0.000290,0.004512,0.001153,-0.001917,0.008330,0.009933,-0.006015
0.153843,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,0.021978,0.253480,3.041758,1.772894,0.015140,-0.001954,-0.012698,0.000245,-1.570734,0.994733,0.000454,0.000538,-0.000322,0.004825,0.001233,-0.002048,0.008902,0.010626,-0.006447
0.158942,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.021978,-0.021978,0.253480,3.037363,1.774359,0.016117,-0.002442,-0.012698,0.000270,-1.570728,0.994723,0.000500,0.000593,-0.000355,0.005148,0.001317,-0.002184,0.009492,0.011341,-0.006894
0.164043,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,0.007326,0.250549,3.035897,1.768498,0.016117,-0.002442,-0.012698,0.000297,-1.570721,0.994711,0.000550,0.000652,-0.000391,0.005481,0.001402,-0.002323,0.010100,0.012080,-0.007357
0.169158,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,0.004396,-0.004396,-0.004396,-0.007326,-0.007326,-0.007326,0.253480,3.032967,1.767033,0.017094,-0.002442,-0.012698,0.000325,-1.570713,0.994699,0.000602,0.000715,-0.000429,0.005824,0.001491,-0.002467,0.010726,0.012841,-0.007835
0.174210,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,-0.007326,-0.007326,0.021978,0.260806,3.052015,1.772894,0.018071,-0.002930,-0.012698,0.000355,-1.570706,0.994686,0.000658,0.000781,-0.000470,0.006178,0.001582,-0.002615,0.011369,0.013624,-0.008329
0.179330,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,-0.004396,-0.004396,-0.004396,0.007326,-0.007326,-0.007326,0.254945,3.068132,1.759707,0.018559,-0.002930,-0.012698,0.000387,-1.570698,0.994673,0.000716,0.000852,-0.000513,0.006541,0.001675,-0.002766,0.012030,0.014431,-0.008839
0.184434,-0.000954,-1.571870,0.994316,-0.000191,-0.000191,-0.000191,0.004396,-0.004396,-0.004396,0.021978,0.007326,-0.007326,0.259341,3.085714,1.756777,0.019536,-0.002930,-0.012698,0.000421,-1.570689,0.994659,0.000779,0.000926,-0.000559,0.006914,0.001772,-0.002922,0.012709,0.015259,-0.009365
