Joint,RMSE (Nm),Max Error (Nm),Mean Error (Nm),Relative Error (%)
Joint1,0.01925029342894203,0.10245707632545042,0.014665228017992797,3.587558953549467
Joint2,0.15490448722557446,0.27342861558014864,0.1359074809986206,4.714260682438893
Joint3,0.14976674454254507,0.2498168315841487,0.1336633621692097,6.304748687231836
Joint4,0.015932604113604337,0.04639418045432325,0.011521203046080387,7.923520612289192
Joint5,0.09692982601552366,0.26993541994712217,0.07877106346944472,21.43444611660365
Joint6,0.003735427772720881,0.011830981431625899,0.0029849164139112527,4.561497145398096
Average,0.07341989718315174,0.15897718422046986,0.06291887568587658,8.08767203291852
